CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,100,-,3,16.64,842.30,-17.70,50,797.70,893.20,50,"15,100.00",50,225.05,232.85,50,12.50,228.00,24.86,"1,858",-111,"2,297",
,2,-,-,-,-,-,"1,400",652.95,982.20,"2,750","15,150.00",100,226.05,279.45,50,-9.35,219.35,23.61,20,-6,216,
,164,25,67,17.07,781.00,-14.15,50,774.85,819.65,50,"15,200.00",100,256.00,263.00,50,15.65,256.00,24.65,938,57,"5,452",
,8,-,-,-,-,-,350,411.10,"1,095.65","2,750","15,250.00",100,247.85,299.25,50,10.85,265.40,24.42,17,6,157,
,173,22,66,17.71,718.85,5.80,50,642.40,719.00,800,"15,300.00",50,282.90,294.75,50,14.50,285.80,24.60,551,16,"1,975",
,19,-,-,-,-,-,900,535.15,718.80,900,"15,350.00",50,283.95,329.05,650,14.75,301.55,24.51,2,-,92,
,136,4,29,17.82,652.00,-7.10,50,610.50,666.60,50,"15,400.00",100,318.00,321.90,50,18.35,321.70,24.47,"1,342",210,"2,209",
,16,-1,2,19.72,656.00,11.00,"1,400",474.25,653.00,900,"15,450.00",100,317.90,349.20,50,11.90,339.30,24.60,25,-4,49,
,"1,868",88,"1,319",17.74,586.00,-11.15,"1,600",586.00,594.90,100,"15,500.00",50,355.10,359.90,50,15.95,355.70,24.44,"6,583",-214,"19,546",
,11,-,5,17.77,555.00,-5.00,100,478.95,574.25,50,"15,550.00",100,365.25,389.15,100,14.70,370.00,24.08,38,-4,84,
,334,-16,226,17.79,527.00,-8.15,100,524.35,527.00,"1,300","15,600.00",50,396.05,400.00,100,26.35,400.00,24.38,792,114,"4,758",
,28,-,17,18.06,502.00,0.20,100,490.75,519.55,50,"15,650.00",50,399.20,434.25,50,16.75,415.00,24.17,32,3,62,
,"1,512",343,"1,814",18.08,476.80,-5.65,50,472.00,481.85,50,"15,700.00",50,442.05,444.55,150,23.15,444.55,24.44,"2,591",490,"2,747",
,79,31,92,18.25,448.00,-8.65,50,442.05,466.05,350,"15,750.00",50,455.65,479.60,50,20.45,464.00,24.35,55,16,83,
,"1,953",346,"2,360",18.10,420.05,-9.35,50,420.00,432.30,50,"15,800.00",50,488.70,490.00,300,21.15,490.00,24.35,"1,276",-114,"2,880",
,104,2,18,17.77,390.00,-12.70,100,380.60,415.30,250,"15,850.00",100,496.05,524.40,50,-36.35,466.05,22.12,27,-4,70,
,"1,606",143,"1,035",18.08,373.00,-6.05,50,370.05,383.65,100,"15,900.00",100,532.40,556.85,50,20.85,541.30,24.33,650,-131,"2,860",
,28,-,8,17.86,345.00,-7.10,50,339.75,364.80,900,"15,950.00",100,551.80,624.00,"1,100",8.00,559.95,24.07,21,2,34,
,"9,887","1,020","9,116",18.17,330.50,-3.00,50,329.90,330.30,700,"16,000.00",50,592.95,600.00,950,28.30,599.95,24.49,"2,841",115,"13,148",
,148,115,279,18.23,309.20,-6.85,100,292.00,317.15,600,"16,050.00",100,604.70,665.35,900,48.60,603.90,23.56,5,-,27,
,"1,544",135,"1,481",18.14,287.80,-6.65,100,283.65,288.00,150,"16,100.00",100,645.95,668.00,550,22.55,649.75,24.37,228,55,"1,702",
,11,-1,5,18.31,272.55,-2.40,100,257.95,277.15,50,"16,150.00",100,637.30,830.85,"1,400",-,-,-,-,-,41,
,"2,853",209,"2,029",18.13,250.55,-6.65,100,247.20,252.05,100,"16,200.00",50,705.65,724.35,250,29.60,714.45,24.62,382,57,"3,842",
,110,-115,200,18.35,237.75,6.75,50,222.65,242.55,150,"16,250.00",100,482.20,818.45,50,4.85,740.00,24.38,4,-1,24,
,"2,351",278,"1,849",18.15,217.05,-7.35,50,215.15,218.00,150,"16,300.00",100,769.15,795.65,"1,000",24.40,779.00,24.75,168,8,879,
,111,6,18,18.15,200.30,-9.95,100,191.00,209.60,50,"16,350.00",850,544.35,863.65,100,1.35,809.95,24.70,20,5,65,
,"1,448",188,"1,880",18.09,186.00,-7.75,50,180.10,187.25,50,"16,400.00",100,846.75,855.00,50,28.20,850.00,25.01,241,-9,"4,050",
,100,-3,13,18.34,172.85,-2.15,50,165.75,182.55,250,"16,450.00",100,858.25,968.20,50,-,-,-,-,-,36,
,"12,631","2,638","12,398",18.23,161.50,-4.60,50,160.05,161.50,50,"16,500.00",50,922.00,933.20,50,25.10,923.00,25.22,806,3,"5,029",
,86,-2,39,18.18,155.90,1.85,50,142.80,155.90,500,"16,550.00",100,919.00,"1,054.50","1,400",-30.25,896.80,22.21,1,-,15,
,"2,712",54,"1,394",18.10,134.55,-6.35,100,133.95,136.75,100,"16,600.00",250,994.40,"1,014.90",50,35.65,994.40,25.48,65,4,"1,097",
,96,-10,52,18.21,127.15,-4.80,100,121.90,134.00,100,"16,650.00",100,"1,022.70","1,142.75","1,750",-12.10,"1,037.45",25.88,1,-,21,
,"1,680",44,"1,986",18.04,114.95,-6.05,50,114.20,115.95,100,"16,700.00",100,"1,060.90","1,083.80",200,-6.00,"1,070.00",25.70,58,-4,330,
,114,7,145,18.25,106.60,-0.70,100,99.05,117.65,100,"16,750.00",100,"1,097.85","1,246.70",50,-,-,-,-,-,8,
,"3,139",3,"3,193",18.06,97.00,-4.65,50,96.60,97.00,200,"16,800.00",200,"1,151.95","1,162.15",500,22.60,"1,150.15",26.06,20,-,499,
,108,35,96,18.03,88.00,-5.20,300,88.00,95.85,250,"16,850.00",100,"1,173.90","1,278.35",50,14.15,"1,177.05",25.46,1,-,6,
,"1,039",-7,734,18.16,81.00,-6.60,50,81.00,82.35,50,"16,900.00",550,"1,233.10","1,383.85","2,750",81.20,"1,206.20",24.93,5,-1,107,
,121,-2,27,18.24,73.40,-6.50,50,72.90,82.05,50,"16,950.00",100,"1,242.75","1,400.05",50,-,-,-,-,-,2,
,"16,542","1,768","11,646",18.13,67.85,-6.30,100,67.50,68.20,"1,200","17,000.00",100,"1,317.00","1,334.95","1,800",27.50,"1,323.00",27.18,248,-32,"2,654",
,108,8,28,18.15,63.00,-7.35,50,52.70,67.30,600,"17,050.00",100,"1,334.00","1,493.90",50,-,-,-,-,-,23,
,"1,184",130,703,18.13,56.45,-5.55,100,55.00,56.60,50,"17,100.00",100,"1,389.30","1,417.80",250,1.35,"1,381.00",25.99,5,-2,57,
,76,2,14,18.21,52.20,-4.95,50,47.85,56.05,50,"17,150.00",100,"1,427.35","1,611.05",50,-,-,-,-,-,13,
,"1,759",88,861,18.28,47.00,-5.70,50,45.05,48.60,100,"17,200.00",150,"1,489.75","1,514.75",250,15.40,"1,501.25",28.53,11,-1,194,
,121,35,94,18.39,44.65,-1.80,50,44.05,99.85,300,"17,250.00",100,"1,511.90","1,627.30",50,-,-,-,-,-,29,
,829,128,501,18.33,40.00,-5.05,150,40.00,45.00,"2,200","17,300.00",100,"1,572.45","1,606.90",150,-30.05,"1,569.95",27.74,6,-,122,
,168,13,32,18.43,37.00,-3.70,100,33.60,86.75,"1,100","17,350.00",100,"1,597.25","1,806.45",50,-,-,-,-,-,15,
,939,-86,302,18.49,34.00,-4.50,100,23.55,34.00,100,"17,400.00",50,"1,663.70","1,692.90",150,67.05,"1,677.05",29.42,8,-,122,
,246,62,84,18.67,32.00,-2.60,300,32.00,51.20,400,"17,450.00",100,"1,698.60","1,910.25",50,-,-,-,-,-,9,
,"7,997",212,"3,396",18.67,28.75,-4.35,100,28.50,28.75,100,"17,500.00",150,"1,772.10","1,785.05",250,26.90,"1,779.10",30.67,148,15,"1,354",
,94,-,1,19.00,28.40,-4.60,100,22.50,29.05,100,"17,550.00",100,"1,785.15","1,893.05",50,-,-,-,-,-,14,
,"1,108",6,587,19.04,25.90,-3.50,50,21.55,41.65,100,"17,600.00",100,"1,839.70","2,086.60","2,750",644.45,"1,796.85",25.57,1,-,40,
,37,-,1,19.17,24.25,-5.85,"2,750",6.55,74.20,"2,750","17,650.00","2,800","1,668.90","2,112.25","2,750",-,-,-,-,-,13,
,876,331,750,19.23,22.25,-3.80,150,22.10,39.60,100,"17,700.00",850,"1,897.75","2,026.25",50,-,-,-,-,-,42,
,59,12,41,19.56,21.90,-3.70,300,17.00,47.95,50,"17,750.00","2,750","1,741.35","2,196.60","2,750",-,-,-,-,-,13,
,"1,022",-95,856,19.91,21.70,-0.95,250,21.00,25.00,"2,000","17,800.00",50,"2,033.60","2,211.45",100,-34.10,"2,020.15",29.72,1,-,72,
,18,-,-,-,-,-,50,19.10,50.25,"2,750","17,850.00","2,750","1,788.95","2,307.85","2,750",-,-,-,-,-,7,
,336,-9,77,20.25,19.45,-1.00,150,16.00,20.90,100,"17,900.00","2,750","1,848.95","2,488.30","2,750",633.80,"2,140.00",32.41,2,-,48,
,69,-,2,20.48,18.75,-2.05,100,10.20,54.90,"2,750","17,950.00","2,750","1,878.95","2,412.35","2,750",-,-,-,-,-,4,
,"8,889",354,"3,032",20.52,16.60,-1.85,50,16.50,16.60,50,"18,000.00",50,"2,246.65","2,274.75",250,24.85,"2,256.05",34.75,160,19,"1,553",
,22,-,-,-,-,-,100,6.50,57.20,"2,750","18,050.00","2,750","2,051.55","2,529.60","2,750",-,-,-,-,-,-,
,175,-2,19,20.86,15.50,-1.10,50,14.60,19.40,750,"18,100.00",50,"2,311.10","2,425.25",50,-,-,-,-,-,2,
,13,-,-,-,-,-,100,8.60,50.45,"2,750","18,150.00","2,750","2,057.50","2,638.00","2,750",-,-,-,-,-,-,
,172,-4,16,21.53,15.35,0.35,100,12.00,18.65,300,"18,200.00","2,750","2,188.35","2,702.00","2,750",-,-,-,-,-,-,
,3,-,-,-,-,-,100,9.90,40.45,"2,750","18,250.00","2,750","2,147.50","2,746.00","2,750",-,-,-,-,-,-,
,199,-6,23,21.49,12.55,-0.45,100,12.00,16.00,50,"18,300.00","2,750","2,200.05","2,812.75","2,750",-,-,-,-,-,-,
,1,1,3,21.61,11.80,-424.95,600,5.65,25.40,"2,750","18,350.00","2,750","2,238.45","2,861.85","2,750",-,-,-,-,-,-,
,66,4,25,22.00,12.00,-1.30,200,10.00,12.90,50,"18,400.00","2,750","2,370.75","2,938.60","2,750",-,-,-,-,-,-,
,3,-,-,-,-,-,50,7.90,30.45,"2,750","18,450.00","2,750","2,327.50","2,957.60","2,750",-,-,-,-,-,-,
,"2,945",-26,978,21.94,9.95,-1.20,250,9.60,10.95,350,"18,500.00",450,"2,734.55","2,764.05",50,-10.00,"2,710.00",36.08,14,-7,291,
,12,1,2,22.68,11.00,-0.50,600,6.20,11.30,50,"18,550.00","2,750","2,507.55","3,101.90","2,750",-,-,-,-,-,-,
,114,3,7,22.68,10.05,-1.50,50,9.00,11.50,50,"18,600.00","2,750","2,449.80","3,155.50","2,750",-,-,-,-,-,-,
,12,7,8,23.26,10.80,-0.15,500,5.70,11.45,50,"18,650.00","2,750","2,598.75","3,212.20","2,750",-,-,-,-,-,-,
,453,2,16,23.03,9.25,-1.20,50,9.25,10.70,100,"18,700.00",50,"2,926.25","2,975.50",50,-,-,-,-,-,15,
,581,28,69,22.96,8.25,-2.35,550,8.30,10.00,50,"18,750.00",50,"2,927.10","3,062.90",50,-,-,-,-,-,-,
